file_id,path,offset,end,size,sha256,extension,format,signature_hex
60,__unmapped__/file_00060,2894336,2936864,42528,35e3b0bf2f829f768d6772be2ef33b20809a22ba2bd7556db57e4f5ff5db1352,,,01040143014801607047c04620ad2202
61,__unmapped__/file_00061,2937344,2951936,14592,35585d1322eea2b47b6e3c108bc7bb8bc0cca22a5e73134be4e65227182b9e13,,,38b5141c051c081c211cfef553ff281c
62,__unmapped__/file_00062,2952192,3060544,108352,e454909ca0fcaa582bd185481c588d708acaaf16cea8a115fd61bf2ac30299c4,,,38b58ab0041c0020011ce7f595fbe7f5
63,__unmapped__/file_00063,3060736,3072640,11904,d00aabbdc16e4c091d2aa37b8d55fceb4b1149455d66b2202af28fe0970e33b5,,,f8b50d1c1e1c041c2649301c0092ecf5
64,__unmapped__/file_00064,3073024,3091552,18528,65271f8f27bb115c69b40d5ec8b645278473831bd0a34e0adac883c18ccec5a9,,,38b5051c2e480221d7f5dcfc07220320
65,__unmapped__/file_00065,3091968,3141600,49632,dfa38cb269a099c07029bf91fdf256c0171040c65460fa260a2b00b639b1b7c7,,,08b516210901405822f676f802213522
66,__unmapped__/file_00066,3141632,3328480,186848,860fd54b209e5a65d2a95016013483e7cc9bb7775dfeda1b0ef72fc084bec7e8,,,38b5041c1f480221d7f5dcfc6bf616fa
67,__unmapped__/file_00067,3328512,3332000,3488,3450f02e2b411abe6b256b5fd68b535d89d629a1d8838b6b60dfb54b12746e73,,Nintendo RLE,30b587b00222041c032070211204baf5
68,__unmapped__/file_00068,3332096,3338176,6080,5c592cd57d8dfeb0145fb0fedd459336783e23da4c13edc4a86aa9c66f80cdf0,,,78b581b0041ca9f525f90522051c0320
69,__unmapped__/file_00069,3338240,3349824,11584,5c4fbad7bf283a62418de4f96479f90bf3ec9a5eb1cc899f35c70fb36cfa2802,,,38b582b0041ca9f525f90522051c0320
70,__unmapped__/file_00070,3350016,3424032,74016,df716af65b6726a0cc62072188d23b05cf53308688141a939bf503dafd73662b,,,0023c25e12030a600222805e00038860
71,__unmapped__/file_00071,3424256,3434112,9856,7b3b09b689aafad54f6da7b0925be8b03bea589412842e2864ab7fd2911f9b1f,,,f8b586b0051c0020011cdbf555fc0020
72,__unmapped__/file_00072,3434496,3440064,5568,e7e0de3fd9302d3cbc4dc1fa7df502a701d3c45befb8287b202b6fec91308c16,,,f0b583b00d1c2968061c002903d00129
73,__unmapped__/file_00073,3440128,3452000,11872,3fcfb0f3433fd61e818a3399addb3f52a9b536a14951a1ea5d2793bf4b9b0843,,,38b50122051c03205221920446f64cfa
74,__unmapped__/file_00074,3452416,3456320,3904,e33729a3e0bfaec14eb587e97de1af09ccb591471ecc6ad15c4565b6822dce79,,,38b5041c34f6e6fd0122051c03202621
